keff,panels_deg,areal_dens,type,solbor,burnup,vf
0.89716,2,0.022,bwr,0,12,0.7
0.89716,3,0.022,bwr,0,12,0.7
0.89691,4,0.022,bwr,0,12,0.7
0.89691,8,0.022,bwr,0,12,0.7
0.8965,12,0.022,bwr,0,12,0.7
0.8965,20,0.022,bwr,0,12,0.7
0.89743,40,0.022,bwr,0,12,0.7
0.89659,80,0.022,bwr,0,12,0.7
0.89691,200,0.022,bwr,0,12,0.7
0.9015,1,1.00E-11,bwr,0,24,0
0.90378,2,1.00E-11,bwr,0,24,0
0.90854,3,1.00E-11,bwr,0,24,0
0.91936,4,1.00E-11,bwr,0,24,0
0.95702,8,1.00E-11,bwr,0,24,0
0.98492,12,1.00E-11,bwr,0,24,0
1.02666,20,1.00E-11,bwr,0,24,0
1.07449,40,1.00E-11,bwr,0,24,0
1.11078,80,1.00E-11,bwr,0,24,0
1.15913,200,1.00E-11,bwr,0,24,0
0.9004,1,0.002,bwr,0,24,0
0.90098,2,0.002,bwr,0,24,0
0.90171,3,0.002,bwr,0,24,0
0.90375,4,0.002,bwr,0,24,0
0.90857,8,0.002,bwr,0,24,0
0.91502,12,0.002,bwr,0,24,0
0.92909,20,0.002,bwr,0,24,0
0.95293,40,0.002,bwr,0,24,0
0.97438,80,0.002,bwr,0,24,0
1.0079,200,0.002,bwr,0,24,0
0.90012,1,0.004,bwr,0,24,0
0.90089,2,0.004,bwr,0,24,0
0.90125,3,0.004,bwr,0,24,0
0.90223,4,0.004,bwr,0,24,0
0.9043,8,0.004,bwr,0,24,0
0.90593,12,0.004,bwr,0,24,0
0.91199,20,0.004,bwr,0,24,0
0.92382,40,0.004,bwr,0,24,0
0.93822,80,0.004,bwr,0,24,0
0.96398,200,0.004,bwr,0,24,0
0.90075,1,0.006,bwr,0,24,0
0.90012,2,0.006,bwr,0,24,0
0.90084,3,0.006,bwr,0,24,0
0.9013,4,0.006,bwr,0,24,0
0.90223,8,0.006,bwr,0,24,0
0.9033,12,0.006,bwr,0,24,0
0.9052,20,0.006,bwr,0,24,0
0.91158,40,0.006,bwr,0,24,0
0.9204,80,0.006,bwr,0,24,0
0.93911,200,0.006,bwr,0,24,0
0.89986,1,0.008,bwr,0,24,0
0.89973,2,0.008,bwr,0,24,0
0.90105,3,0.008,bwr,0,24,0
0.90087,4,0.008,bwr,0,24,0
0.90125,8,0.008,bwr,0,24,0
0.90133,12,0.008,bwr,0,24,0
0.90288,20,0.008,bwr,0,24,0
0.90574,40,0.008,bwr,0,24,0
0.91045,80,0.008,bwr,0,24,0
0.922,200,0.008,bwr,0,24,0
0.90018,1,0.01,bwr,0,24,0
0.90009,2,0.01,bwr,0,24,0
0.89992,3,0.01,bwr,0,24,0
0.901,4,0.01,bwr,0,24,0
0.90066,8,0.01,bwr,0,24,0
0.90146,12,0.01,bwr,0,24,0
0.90162,20,0.01,bwr,0,24,0
0.90192,40,0.01,bwr,0,24,0
0.90391,80,0.01,bwr,0,24,0
0.90947,200,0.01,bwr,0,24,0
0.90011,1,0.012,bwr,0,24,0
0.90016,2,0.012,bwr,0,24,0
0.90019,3,0.012,bwr,0,24,0
0.90012,4,0.012,bwr,0,24,0
0.90062,8,0.012,bwr,0,24,0
0.90007,12,0.012,bwr,0,24,0
0.90065,20,0.012,bwr,0,24,0
0.90026,40,0.012,bwr,0,24,0
0.89974,80,0.012,bwr,0,24,0
0.8989,200,0.012,bwr,0,24,0
0.89989,1,0.014,bwr,0,24,0
0.89995,2,0.014,bwr,0,24,0
0.9,3,0.014,bwr,0,24,0
0.8995,4,0.014,bwr,0,24,0
0.89995,8,0.014,bwr,0,24,0
0.89974,12,0.014,bwr,0,24,0
0.89987,20,0.014,bwr,0,24,0
0.89846,40,0.014,bwr,0,24,0
0.89716,80,0.014,bwr,0,24,0
0.8901,200,0.014,bwr,0,24,0
0.89978,1,0.016,bwr,0,24,0
0.90013,2,0.016,bwr,0,24,0
0.8999,3,0.016,bwr,0,24,0
0.90014,4,0.016,bwr,0,24,0
0.89978,8,0.016,bwr,0,24,0
0.89944,12,0.016,bwr,0,24,0
0.89889,20,0.016,bwr,0,24,0
0.8981,40,0.016,bwr,0,24,0
0.89413,80,0.016,bwr,0,24,0
0.88361,200,0.016,bwr,0,24,0
0.90001,1,0.018,bwr,0,24,0
0.89961,2,0.018,bwr,0,24,0
0.90009,3,0.018,bwr,0,24,0
0.89996,4,0.018,bwr,0,24,0
0.8999,8,0.018,bwr,0,24,0
0.89916,12,0.018,bwr,0,24,0
0.89879,20,0.018,bwr,0,24,0
0.89669,40,0.018,bwr,0,24,0
0.89321,80,0.018,bwr,0,24,0
0.87682,200,0.018,bwr,0,24,0
0.89952,1,0.02,bwr,0,24,0
0.89979,2,0.02,bwr,0,24,0
0.89976,3,0.02,bwr,0,24,0
0.90018,4,0.02,bwr,0,24,0
0.89964,8,0.02,bwr,0,24,0
0.8986,12,0.02,bwr,0,24,0
0.89776,20,0.02,bwr,0,24,0
0.89614,40,0.02,bwr,0,24,0
0.89215,80,0.02,bwr,0,24,0
0.87138,200,0.02,bwr,0,24,0
0.89921,1,0.022,bwr,0,24,0
0.89921,2,0.022,bwr,0,24,0
0.89921,3,0.022,bwr,0,24,0
0.89921,4,0.022,bwr,0,24,0
0.89953,8,0.022,bwr,0,24,0
0.89901,12,0.022,bwr,0,24,0
0.89809,20,0.022,bwr,0,24,0
0.89589,40,0.022,bwr,0,24,0
0.88983,80,0.022,bwr,0,24,0
0.86653,200,0.022,bwr,0,24,0
0.89819,1,1.00E-11,bwr,0,24,0.7
0.90101,2,1.00E-11,bwr,0,24,0.7
0.90788,3,1.00E-11,bwr,0,24,0.7
0.91857,4,1.00E-11,bwr,0,24,0.7
0.95816,8,1.00E-11,bwr,0,24,0.7
0.98706,12,1.00E-11,bwr,0,24,0.7
1.03049,20,1.00E-11,bwr,0,24,0.7
1.07866,40,1.00E-11,bwr,0,24,0.7
1.11473,80,1.00E-11,bwr,0,24,0.7
1.16403,200,1.00E-11,bwr,0,24,0.7
0.89736,1,0.002,bwr,0,24,0.7
0.89763,2,0.002,bwr,0,24,0.7
0.89925,3,0.002,bwr,0,24,0.7
0.9008,4,0.002,bwr,0,24,0.7
0.9073,8,0.002,bwr,0,24,0.7
0.91466,12,0.002,bwr,0,24,0.7
0.93154,20,0.002,bwr,0,24,0.7
0.9557,40,0.002,bwr,0,24,0.7
0.97855,80,0.002,bwr,0,24,0.7
1.01356,200,0.002,bwr,0,24,0.7
0.89729,1,0.004,bwr,0,24,0.7
0.89744,2,0.004,bwr,0,24,0.7
0.89864,3,0.004,bwr,0,24,0.7
0.89847,4,0.004,bwr,0,24,0.7
0.90201,8,0.004,bwr,0,24,0.7
0.90445,12,0.004,bwr,0,24,0.7
0.91234,20,0.004,bwr,0,24,0.7
0.92521,40,0.004,bwr,0,24,0.7
0.94229,80,0.004,bwr,0,24,0.7
0.9688,200,0.004,bwr,0,24,0.7
0.89693,1,0.006,bwr,0,24,0.7
0.89703,2,0.006,bwr,0,24,0.7
0.89791,3,0.006,bwr,0,24,0.7
0.89829,4,0.006,bwr,0,24,0.7
0.89949,8,0.006,bwr,0,24,0.7
0.90082,12,0.006,bwr,0,24,0.7
0.9047,20,0.006,bwr,0,24,0.7
0.91172,40,0.006,bwr,0,24,0.7
0.92372,80,0.006,bwr,0,24,0.7
0.9443,200,0.006,bwr,0,24,0.7
0.89675,1,0.008,bwr,0,24,0.7
0.89752,2,0.008,bwr,0,24,0.7
0.89785,3,0.008,bwr,0,24,0.7
0.89793,4,0.008,bwr,0,24,0.7
0.89841,8,0.008,bwr,0,24,0.7
0.89966,12,0.008,bwr,0,24,0.7
0.90068,20,0.008,bwr,0,24,0.7
0.90516,40,0.008,bwr,0,24,0.7
0.91206,80,0.008,bwr,0,24,0.7
0.92739,200,0.008,bwr,0,24,0.7
0.89715,1,0.01,bwr,0,24,0.7
0.89712,2,0.01,bwr,0,24,0.7
0.89753,3,0.01,bwr,0,24,0.7
0.89796,4,0.01,bwr,0,24,0.7
0.89774,8,0.01,bwr,0,24,0.7
0.89837,12,0.01,bwr,0,24,0.7
0.89896,20,0.01,bwr,0,24,0.7
0.901,40,0.01,bwr,0,24,0.7
0.90483,80,0.01,bwr,0,24,0.7
0.9142,200,0.01,bwr,0,24,0.7
0.89691,1,0.012,bwr,0,24,0.7
0.89666,2,0.012,bwr,0,24,0.7
0.89709,3,0.012,bwr,0,24,0.7
0.89755,4,0.012,bwr,0,24,0.7
0.89717,8,0.012,bwr,0,24,0.7
0.89788,12,0.012,bwr,0,24,0.7
0.89762,20,0.012,bwr,0,24,0.7
0.89849,40,0.012,bwr,0,24,0.7
0.90009,80,0.012,bwr,0,24,0.7
0.90399,200,0.012,bwr,0,24,0.7
0.89729,1,0.014,bwr,0,24,0.7
0.89699,2,0.014,bwr,0,24,0.7
0.89691,3,0.014,bwr,0,24,0.7
0.89706,4,0.014,bwr,0,24,0.7
0.89728,8,0.014,bwr,0,24,0.7
0.89701,12,0.014,bwr,0,24,0.7
0.89739,20,0.014,bwr,0,24,0.7
0.89655,40,0.014,bwr,0,24,0.7
0.89706,80,0.014,bwr,0,24,0.7
0.89558,200,0.014,bwr,0,24,0.7
0.89705,1,0.016,bwr,0,24,0.7
0.89674,2,0.016,bwr,0,24,0.7
0.89695,3,0.016,bwr,0,24,0.7
0.89671,4,0.016,bwr,0,24,0.7
0.89699,8,0.016,bwr,0,24,0.7
0.89714,12,0.016,bwr,0,24,0.7
0.89615,20,0.016,bwr,0,24,0.7
0.89549,40,0.016,bwr,0,24,0.7
0.89364,80,0.016,bwr,0,24,0.7
0.88828,200,0.016,bwr,0,24,0.7
0.89659,1,0.018,bwr,0,24,0.7
0.89674,2,0.018,bwr,0,24,0.7
0.89663,3,0.018,bwr,0,24,0.7
0.89731,4,0.018,bwr,0,24,0.7
0.89696,8,0.018,bwr,0,24,0.7
0.89607,12,0.018,bwr,0,24,0.7
0.89565,20,0.018,bwr,0,24,0.7
0.89433,40,0.018,bwr,0,24,0.7
0.89192,80,0.018,bwr,0,24,0.7
0.88195,200,0.018,bwr,0,24,0.7
0.89665,1,0.02,bwr,0,24,0.7
0.89679,2,0.02,bwr,0,24,0.7
0.89717,3,0.02,bwr,0,24,0.7
0.8966,4,0.02,bwr,0,24,0.7
0.89646,8,0.02,bwr,0,24,0.7
0.89601,12,0.02,bwr,0,24,0.7
0.89559,20,0.02,bwr,0,24,0.7
0.89432,40,0.02,bwr,0,24,0.7
0.89054,80,0.02,bwr,0,24,0.7
0.87619,200,0.02,bwr,0,24,0.7
0.89699,1,0.022,bwr,0,24,0.7
0.89699,2,0.022,bwr,0,24,0.7
0.89694,3,0.022,bwr,0,24,0.7
0.89699,4,0.022,bwr,0,24,0.7
0.89616,8,0.022,bwr,0,24,0.7
0.89606,12,0.022,bwr,0,24,0.7
0.89522,20,0.022,bwr,0,24,0.7
0.89289,40,0.022,bwr,0,24,0.7
0.88922,80,0.022,bwr,0,24,0.7
